title,preacher,ministry,notes
A Thanksgiving Special: Disruptive Conversations with Bishop Jakes and Nicole Avant,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Nicole Avant. Conversation."
Men of Destiny presents Fatherhood Saturday: Together Strong with Bishop T.D. Jakes & Dexter Jakes,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Dexter Jakes."
Bishop T.D. Jakes and Dr. Andrew Yang Chancellors Virtual Public Master Class,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Andrew Yang. Master class."
"Edify: Men's Prayer Breakfast - Pastor Touré, Bishop Jakes, Dr. Jay Barnett, Pastor Don Johnson",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: Touré Roberts, T.D. Jakes, Jay Barnett, Don Johnson."
JDS Chancellor's Public Virtual Master Class with Bishop T.D. Jakes and Bozoma Saint John,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Bozoma Saint John. Master class."
JDS Chancellor's Public Virtual Master Class with Bishop T.D. Jakes and Bishop Walter S. Thomas Sr.,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Walter S. Thomas Sr. Master class."
Panel Discussion: The Challenges of Our Times | Moderated by: Bishop T.D. Jakes,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: Panel moderated by T.D. Jakes."
"Bishop T.D. Jakes Interviews Bakari Sellers, Author of ""My Vanishing Country!""",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Bakari Sellers. Interview."
Bishop Jakes & The Kingdom Choir Interview,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes interviewed with The Kingdom Choir."
Don't Drop the Mic Interview with Bishop T.D. Jakes & Pastor Judah Smith - Part Two,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Judah Smith. Interview."
"Morning Coffee - Pastor Sarah Jakes Roberts, Priscilla Shirer, & Rev. Marissa Farrow",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: Sarah Jakes Roberts, Priscilla Shirer, Marissa Farrow."
Don't Drop The Mic: Millennial Round Table Discussion,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes with a millennial panel. Discussion."
Don't Drop the Mic - House Party,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: Joel Tudman, Michael Phillips, Anita Phillips, T.D. Jakes and others."
Don't Drop The Mic with Reverend Dr. Frank A. Thomas - Part Two,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Frank A. Thomas. Conversation."
Don't Drop The Mic with Reverend Dr. Frank A. Thomas - Part Three,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Frank A. Thomas. Conversation."
Interview with Bishop Bloomer on The Word Network,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: George Bloomer, sermon excerpt then interview."
